Epochs,Stopped,Batchsize,Domain_neur_1,Domain_neur_2,Path_neur_1,Path_neur_2,Query_neur_1,Query_neur_2,Path_Query_neur,Learning_rate,Precision,Recall,F_score,Mathews,TP,FP,FN,TN
40,true,128,1024,256,1024,256,1024,256,512,0.005,0.791,0.804,0.8,0.742,12025,3182,2934,51859
40,true,256,1024,256,1024,256,1024,256,512,0.001,0.79,0.793,0.79,0.734,12006,3195,3133,51666
40,true,128,1024,256,1024,512,1024,512,512,0.001,0.79,0.801,0.8,0.739,12013,3194,2988,51805
40,true,64,1024,256,1024,512,1024,512,1024,0.005,0.789,0.737,0.76,0.694,12005,3202,4281,50512
40,true,256,1024,512,1024,512,1024,256,1024,0.005,0.788,0.806,0.8,0.741,11977,3230,2883,51910
40,true,128,1024,512,1024,256,1024,512,512,0.001,0.787,0.815,0.8,0.747,11974,3233,2719,52074
40,true,256,1024,512,1024,512,1024,256,512,0.001,0.786,0.815,0.8,0.746,11957,3250,2713,52080
40,true,64,1024,512,1024,256,1024,256,512,0.005,0.784,0.801,0.79,0.735,11916,3291,2960,51833
40,true,128,1024,512,1024,512,1024,512,512,0.005,0.784,0.803,0.79,0.737,11919,3288,2918,51875
40,true,128,1024,512,1024,256,1024,256,1024,0.001,0.783,0.801,0.79,0.735,11909,3298,2959,51834
40,true,128,1024,256,1024,256,1024,512,512,0.001,0.782,0.809,0.8,0.74,11899,3308,2810,51983
40,true,128,1024,256,1024,256,1024,256,512,0.001,0.781,0.801,0.79,0.734,11870,3331,2949,51850
40,true,64,1024,256,1024,256,1024,256,512,0.001,0.781,0.806,0.79,0.737,11878,3329,2860,51933
40,true,64,1024,512,1024,512,1024,512,512,0.001,0.781,0.801,0.79,0.734,11880,3327,2948,51845
40,true,128,1024,256,1024,256,1024,256,1024,0.001,0.781,0.813,0.8,0.742,11874,3333,2723,52070
40,true,128,1024,256,1024,512,1024,512,1024,0.001,0.781,0.814,0.8,0.742,11873,3334,2713,52080
40,true,128,1024,256,1024,256,1024,512,512,0.005,0.779,0.818,0.8,0.744,11841,3366,2630,52163
40,true,256,1024,256,1024,256,1024,256,1024,0.005,0.778,0.812,0.79,0.74,11832,3375,2736,52057
40,true,256,1024,256,1024,512,1024,256,512,0.005,0.777,0.81,0.79,0.738,11822,3385,2774,52019
40,true,128,1024,512,1024,512,1024,512,512,0.001,0.775,0.823,0.8,0.744,11779,3428,2541,52252
40,true,256,1024,256,1024,512,1024,512,1024,0.005,0.773,0.812,0.79,0.736,11753,3454,2718,52075
40,true,128,1024,512,1024,256,1024,256,512,0.001,0.771,0.823,0.8,0.742,11719,3482,2524,52275
